totalDelay,totalNumberOfHops,totalUsedCPU,totalRootedUnusedVnfCapacity
22284,214,96,312
22290,215,96,311
22295,218,96,308
22302,217,96,298
22307,213,100,348
22319,212,96,318
22322,213,96,318
22335,213,96,316
22342,218,92,278
22345,212,96,315
22353,215,96,310
22356,216,96,307
22370,211,96,326
22377,216,84,254
22380,210,96,316
22397,215,96,310
22400,215,84,255
22402,221,88,243
22402,213,96,315
22404,214,96,309
22406,216,84,253
22414,220,88,245
22425,220,88,241
22432,216,80,233
22434,214,92,278
22457,215,84,254
22465,212,96,309
22468,213,88,255
22480,214,84,255
22483,215,80,234
22493,214,80,240
22507,219,80,224
22511,222,80,220
22517,225,80,214
22522,218,80,214
22537,221,80,213
22581,228,80,212
22603,223,80,212
22607,220,80,212
22609,217,80,224
22609,223,80,210
22639,228,80,210
22647,222,80,212
23084,234,76,184
22648,212,88,255
22653,216,80,232
22696,229,80,209
22707,230,80,207
22729,225,80,209
22837,215,80,228
23068,236,80,204
23107,233,76,184
23296,234,76,182
23464,244,76,180
#28881,352,80,175
